host,id,status
ubuntu-desktop-2404-vdi-20260609,1,REPROVADO
ubuntu-desktop-2404-vdi-20260609,2,REPROVADO
ubuntu-desktop-2404-vdi-20260609,3,REPROVADO
ubuntu-desktop-2404-vdi-20260609,4,REPROVADO
ubuntu-desktop-2404-vdi-20260609,5,REPROVADO
ubuntu-desktop-2404-vdi-20260609,6,REPROVADO
ubuntu-desktop-2404-vdi-20260609,7,REPROVADO
ubuntu-desktop-2404-vdi-20260609,8,REPROVADO
ubuntu-desktop-2404-vdi-20260609,9,REPROVADO
ubuntu-desktop-2404-vdi-20260609,10,REPROVADO
ubuntu-desktop-2404-vdi-20260609,11,REPROVADO
ubuntu-desktop-2404-vdi-20260609,12,REPROVADO
ubuntu-desktop-2404-vdi-20260609,13,REPROVADO
ubuntu-desktop-2404-vdi-20260609,14,REPROVADO
ubuntu-desktop-2404-vdi-20260609,15,REPROVADO
ubuntu-desktop-2404-vdi-20260609,16,APROVADO
ubuntu-desktop-2404-vdi-20260609,17,REPROVADO
ubuntu-desktop-2404-vdi-20260609,18,REPROVADO
ubuntu-desktop-2404-vdi-20260609,19,REPROVADO
ubuntu-desktop-2404-vdi-20260609,20,REPROVADO
ubuntu-desktop-2404-vdi-20260609,21,REPROVADO
ubuntu-desktop-2404-vdi-20260609,22,APROVADO
ubuntu-desktop-2404-vdi-20260609,23,APROVADO
ubuntu-desktop-2404-vdi-20260609,24,REPROVADO
ubuntu-desktop-2404-vdi-20260609,25,REPROVADO
ubuntu-desktop-2404-vdi-20260609,26,APROVADO
ubuntu-desktop-2404-vdi-20260609,27,REPROVADO
ubuntu-desktop-2404-vdi-20260609,28,REPROVADO
ubuntu-desktop-2404-vdi-20260609,29,REPROVADO
ubuntu-desktop-2404-vdi-20260609,30,REPROVADO
ubuntu-desktop-2404-vdi-20260609,31,REPROVADO
ubuntu-desktop-2404-vdi-20260609,32,REPROVADO
ubuntu-desktop-2404-vdi-20260609,33,REPROVADO
ubuntu-desktop-2404-vdi-20260609,34,REPROVADO
ubuntu-desktop-2404-vdi-20260609,35,REPROVADO
ubuntu-desktop-2404-vdi-20260609,36,REPROVADO
ubuntu-desktop-2404-vdi-20260609,37,REPROVADO
ubuntu-desktop-2404-vdi-20260609,38,APROVADO
ubuntu-desktop-2404-vdi-20260609,39,REPROVADO
ubuntu-desktop-2404-vdi-20260609,40,REPROVADO
ubuntu-desktop-2404-vdi-20260609,41,REPROVADO
ubuntu-desktop-2404-vdi-20260609,42,REPROVADO
ubuntu-desktop-2404-vdi-20260609,43,REPROVADO
ubuntu-desktop-2404-vdi-20260609,44,REPROVADO
ubuntu-desktop-2404-vdi-20260609,45,APROVADO
ubuntu-desktop-2404-vdi-20260609,46,APROVADO
ubuntu-desktop-2404-vdi-20260609,47,APROVADO
ubuntu-desktop-2404-vdi-20260609,48,APROVADO
ubuntu-desktop-2404-vdi-20260609,49,REPROVADO
ubuntu-desktop-2404-vdi-20260609,50,APROVADO
ubuntu-desktop-2404-vdi-20260609,51,APROVADO
ubuntu-desktop-2404-vdi-20260609,56,APROVADO
ubuntu-desktop-2404-vdi-20260609,57,APROVADO
ubuntu-desktop-2404-vdi-20260609,58,REPROVADO
ubuntu-desktop-2404-vdi-20260609,59,APROVADO
ubuntu-desktop-2404-vdi-20260609,60,APROVADO
ubuntu-desktop-2404-vdi-20260609,61,REPROVADO
ubuntu-desktop-2404-vdi-20260609,62,REPROVADO
ubuntu-desktop-2404-vdi-20260609,63,REPROVADO
ubuntu-desktop-2404-vdi-20260609,64,APROVADO
ubuntu-desktop-2404-vdi-20260609,65,APROVADO
ubuntu-desktop-2404-vdi-20260609,66,APROVADO
ubuntu-desktop-2404-vdi-20260609,67,REPROVADO
ubuntu-desktop-2404-vdi-20260609,68,APROVADO
ubuntu-desktop-2404-vdi-20260609,69,APROVADO
ubuntu-desktop-2404-vdi-20260609,70,APROVADO
ubuntu-desktop-2404-vdi-20260609,71,APROVADO
ubuntu-desktop-2404-vdi-20260609,72,APROVADO
ubuntu-desktop-2404-vdi-20260609,73,APROVADO
ubuntu-desktop-2404-vdi-20260609,74,APROVADO
ubuntu-desktop-2404-vdi-20260609,75,APROVADO
ubuntu-desktop-2404-vdi-20260609,76,APROVADO
ubuntu-desktop-2404-vdi-20260609,77,APROVADO
ubuntu-desktop-2404-vdi-20260609,78,APROVADO
ubuntu-desktop-2404-vdi-20260609,79,APROVADO
ubuntu-desktop-2404-vdi-20260609,80,APROVADO
ubuntu-desktop-2404-vdi-20260609,81,APROVADO
ubuntu-desktop-2404-vdi-20260609,82,REPROVADO
ubuntu-desktop-2404-vdi-20260609,83,REPROVADO
ubuntu-desktop-2404-vdi-20260609,84,REPROVADO
ubuntu-desktop-2404-vdi-20260609,85,APROVADO
ubuntu-desktop-2404-vdi-20260609,86,APROVADO
ubuntu-desktop-2404-vdi-20260609,87,APROVADO
ubuntu-desktop-2404-vdi-20260609,88,REPROVADO
ubuntu-desktop-2404-vdi-20260609,89,REPROVADO
ubuntu-desktop-2404-vdi-20260609,90,REPROVADO
ubuntu-desktop-2404-vdi-20260609,91,REPROVADO
ubuntu-desktop-2404-vdi-20260609,92,REPROVADO
ubuntu-desktop-2404-vdi-20260609,93,REPROVADO
ubuntu-desktop-2404-vdi-20260609,94,REPROVADO
ubuntu-desktop-2404-vdi-20260609,95,REPROVADO
ubuntu-desktop-2404-vdi-20260609,96,APROVADO
ubuntu-desktop-2404-vdi-20260609,97,APROVADO
ubuntu-desktop-2404-vdi-20260609,98,REPROVADO
ubuntu-desktop-2404-vdi-20260609,99,REPROVADO
ubuntu-desktop-2404-vdi-20260609,102,APROVADO
ubuntu-desktop-2404-vdi-20260609,108,REPROVADO
ubuntu-desktop-2404-vdi-20260609,109,REPROVADO
ubuntu-desktop-2404-vdi-20260609,110,REPROVADO
ubuntu-desktop-2404-vdi-20260609,111,REPROVADO
ubuntu-desktop-2404-vdi-20260609,112,REPROVADO
ubuntu-desktop-2404-vdi-20260609,113,REPROVADO
ubuntu-desktop-2404-vdi-20260609,114,REPROVADO
ubuntu-desktop-2404-vdi-20260609,115,REPROVADO
ubuntu-desktop-2404-vdi-20260609,117,REPROVADO
ubuntu-desktop-2404-vdi-20260609,118,REPROVADO
ubuntu-desktop-2404-vdi-20260609,119,APROVADO
ubuntu-desktop-2404-vdi-20260609,120,REPROVADO
