host,id,status
debian-12-20260624,1,APROVADO
debian-12-20260624,2,APROVADO
debian-12-20260624,3,APROVADO
debian-12-20260624,4,APROVADO
debian-12-20260624,5,APROVADO
debian-12-20260624,6,APROVADO
debian-12-20260624,7,APROVADO
debian-12-20260624,8,REPROVADO
debian-12-20260624,9,APROVADO
debian-12-20260624,10,APROVADO
debian-12-20260624,11,REPROVADO
debian-12-20260624,12,APROVADO
debian-12-20260624,13,APROVADO
debian-12-20260624,14,APROVADO
debian-12-20260624,15,APROVADO
debian-12-20260624,16,APROVADO
debian-12-20260624,17,APROVADO
debian-12-20260624,18,APROVADO
debian-12-20260624,19,APROVADO
debian-12-20260624,20,APROVADO
debian-12-20260624,21,APROVADO
debian-12-20260624,22,APROVADO
debian-12-20260624,23,APROVADO
debian-12-20260624,24,APROVADO
debian-12-20260624,25,REPROVADO
debian-12-20260624,26,APROVADO
debian-12-20260624,27,REPROVADO
debian-12-20260624,28,REPROVADO
debian-12-20260624,29,REPROVADO
debian-12-20260624,30,REPROVADO
debian-12-20260624,31,REPROVADO
debian-12-20260624,32,REPROVADO
debian-12-20260624,33,REPROVADO
debian-12-20260624,34,REPROVADO
debian-12-20260624,35,REPROVADO
debian-12-20260624,36,REPROVADO
debian-12-20260624,37,REPROVADO
debian-12-20260624,38,REPROVADO
debian-12-20260624,39,REPROVADO
debian-12-20260624,40,REPROVADO
debian-12-20260624,41,REPROVADO
debian-12-20260624,42,REPROVADO
debian-12-20260624,43,REPROVADO
debian-12-20260624,44,APROVADO
debian-12-20260624,45,APROVADO
debian-12-20260624,46,APROVADO
debian-12-20260624,47,APROVADO
debian-12-20260624,48,APROVADO
debian-12-20260624,49,REPROVADO
debian-12-20260624,50,APROVADO
debian-12-20260624,51,APROVADO
debian-12-20260624,56,APROVADO
debian-12-20260624,57,APROVADO
debian-12-20260624,58,REPROVADO
debian-12-20260624,59,APROVADO
debian-12-20260624,60,APROVADO
debian-12-20260624,61,APROVADO
debian-12-20260624,62,APROVADO
debian-12-20260624,63,APROVADO
debian-12-20260624,64,APROVADO
debian-12-20260624,65,APROVADO
debian-12-20260624,66,APROVADO
debian-12-20260624,67,APROVADO
debian-12-20260624,68,APROVADO
debian-12-20260624,69,APROVADO
debian-12-20260624,70,APROVADO
debian-12-20260624,71,APROVADO
debian-12-20260624,72,APROVADO
debian-12-20260624,73,APROVADO
debian-12-20260624,74,APROVADO
debian-12-20260624,75,APROVADO
debian-12-20260624,76,APROVADO
debian-12-20260624,77,APROVADO
debian-12-20260624,78,APROVADO
debian-12-20260624,79,APROVADO
debian-12-20260624,80,APROVADO
debian-12-20260624,81,APROVADO
debian-12-20260624,82,REPROVADO
debian-12-20260624,83,APROVADO
debian-12-20260624,84,APROVADO
