host,id,status
debian-12-20260625,002,CORRIGIDO
debian-12-20260625,003,CORRIGIDO
debian-12-20260625,004,CORRIGIDO
debian-12-20260625,005,CORRIGIDO
debian-12-20260625,006,CORRIGIDO
debian-12-20260625,007,CORRIGIDO
debian-12-20260625,009,CORRIGIDO
debian-12-20260625,010,CORRIGIDO
debian-12-20260625,012,CORRIGIDO
debian-12-20260625,013,CORRIGIDO
debian-12-20260625,075,CORRIGIDO
debian-12-20260625,090,CORRIGIDO
debian-12-20260625,092,CORRIGIDO
debian-12-20260625,094,CORRIGIDO
debian-12-20260625,095,CORRIGIDO
debian-12-20260625,109,CORRIGIDO
debian-12-20260625,111,CORRIGIDO
debian-12-20260625,112,CORRIGIDO
debian-12-20260625,113,CORRIGIDO
debian-12-20260625,120,CORRIGIDO
debian-12-20260625,123,CORRIGIDO
debian-12-20260625,135,CORRIGIDO
debian-12-20260625,136,CORRIGIDO
debian-12-20260625,137,CORRIGIDO
debian-12-20260625,141,CORRIGIDO
debian-12-20260625,142,CORRIGIDO
debian-12-20260625,143,CORRIGIDO
debian-12-20260625,144,CORRIGIDO
debian-12-20260625,151,CORRIGIDO
debian-12-20260625,153,CORRIGIDO
debian-12-20260625,154,CORRIGIDO
debian-12-20260625,157,CORRIGIDO
debian-12-20260625,159,CORRIGIDO
debian-12-20260625,160,CORRIGIDO
debian-12-20260625,162,CORRIGIDO
debian-12-20260625,183,CORRIGIDO
debian-12-20260625,187,CORRIGIDO
debian-12-20260625,188,CORRIGIDO
debian-12-20260625,189,CORRIGIDO
debian-12-20260625,190,CORRIGIDO
debian-12-20260625,193,CORRIGIDO
debian-12-20260625,201,CORRIGIDO
